id,name,lon,lat,type
192,BAY 50 ST-D,-73.983765,40.58884067,NYCT
193,BAY PKWY-D,-73.9936762,40.60195046,NYCT
194,BAY PKWY-F,-73.97525698,40.62073162,NYCT
195,BAY PKWY-N,-73.98178001,40.61145579,NYCT
196,BAY RIDGE AV-R,-74.023377,40.63496667,NYCT
197,BAY RIDGE-95 ST-R,-74.030876,40.61662167,NYCT
198,BAYCHESTER AV-5,-73.838591,40.878663,NYCT
199,BEACH 105 ST-AS,-73.82758075,40.58326844,NYCT
200,BEACH 25 ST-A,-73.761353,40.600066,NYCT
201,BEACH 36 ST-A,-73.768175,40.595398,NYCT
202,BEACH 44 ST-A,-73.776013,40.592943,NYCT
203,BEACH 60 ST-A,-73.788522,40.592374,NYCT
204,BEACH 67 ST-A,-73.796924,40.590927,NYCT
205,BEACH 90 ST-AS,-73.8136514,40.58809156,NYCT
206,BEACH 98 ST-AS,-73.82052059,40.58538569,NYCT
207,BEDFORD AV-L,-73.956665,40.717174,NYCT
208,BEDFORD PK BLVD-4,-73.890064,40.873412,NYCT
209,BEDFORD PK BLVD-BD,-73.887138,40.873244,NYCT
210,BEDFORD-NOSTRAN-G,-73.953522,40.689627,NYCT
211,BERGEN ST-23,-73.97499915,40.68086214,NYCT
212,BERGEN ST-FG,-73.9907565,40.68611055,NYCT
213,BEVERLEY ROAD-BQ,-73.9643578,40.6439046,NYCT
214,BEVERLY RD-25,-73.94884798,40.64512352,NYCT
215,BLEECKER ST-6DF,-73.994659,40.72591467,NYCT
216,BOROUGH HALL-2345R,-73.989998,40.693219,NYCT
217,BOROUGH HALL-R2345,-73.990151,40.692404,NYCT
218,BOTANIC GARDEN-S2345,-73.959245,40.67034267,NYCT
219,BOWERY-JZ,-73.99380691,40.72024688,NYCT
220,BOWLING GREEN-45,-74.014008,40.704914,NYCT
221,BRIARWOOD-EF,-73.82069264,40.70916182,NYCT
222,BRIGHTON BEACH-BQ,-73.96135379,40.5777102,NYCT
223,BROAD CHANNEL-AS,-73.81583269,40.60840218,NYCT
224,BROAD ST-JZ,-74.011056,40.706476,NYCT
225,BROADWAY JCT-ACJLZ,-73.905316,40.67833367,NYCT
226,BROADWAY-G,-73.95031226,40.70612658,NYCT
227,BROADWAY-NQW,-73.925823,40.761432,NYCT
228,BRONX PARK EAST-25,-73.86835609,40.84876867,NYCT
229,BROOK AV-6,-73.91924,40.807566,NYCT
230,BROOKLYN BRIDGE-456JZ,-74.004131,40.713065,NYCT
231,BUHRE AV-6,-73.832569,40.84681,NYCT
232,BURKE AV-25,-73.86705362,40.8712588,NYCT
233,BURNSIDE AV-4,-73.907684,40.853453,NYCT
234,BUSHWICK AV-L,-73.90526176,40.68286063,NYCT
235,CANAL ST-1,-74.006277,40.722854,NYCT
236,CANAL ST-ACE,-74.005229,40.720824,NYCT
237,CANAL ST-JNQRZ6W,-73.99982639,40.71817388,NYCT
238,CANARSIE-ROCKAW-L,-73.90185,40.64665367,NYCT
239,CARROLL ST-FG,-73.99494698,40.68027335,NYCT
240,CASTLE HILL AV-6,-73.851222,40.834255,NYCT
241,CATHEDRAL PKWY-1,-73.966847,40.803967,NYCT
242,CATHEDRAL PKWY-BC,-73.95806671,40.80058156,NYCT
243,CENTRAL AV-M,-73.927243,40.697873,NYCT
244,CENTRAL PK N110-23,-73.951822,40.799075,NYCT
245,CHAMBERS ST-123,-74.009266,40.715478,NYCT
246,CHAMBERS ST-ACE23,-74.00858474,40.714111,NYCT
247,CHAMBERS ST-JZ456,-74.00340673,40.71323379,NYCT
248,CHAUNCEY ST-JZ,-73.91038357,40.6828513,NYCT
249,CHRISTOPHER ST-1,-74.002906,40.733422,NYCT
250,CHURCH AV-25,-73.94945514,40.65086069,NYCT
251,CHURCH AV-BQ,-73.96288246,40.65049325,NYCT
